Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999,Pos_x,Pos_y
Josh Uche,6-1,245.0,,,18.0,,,,UcheJo00,2,60,NWE,LB,21,2022.0,0,0,0,5.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,15.5,UcheJo00,,
Ke'Shawn Vaughn,5-10,214.0,4.51,32.0,,117.0,,,VaugKe00,3,76,TAM,RB,23,2022.0,0,0,0,2.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,79.0,342.0,2.0,12.0,79.0,1.0,,,,VaugKe00,,
Kindle Vildor,5-10,191.0,4.44,39.5,22.0,133.0,7.14,4.28,VildKi00,5,163,CHI,CB,22,2022.0,0,0,2,7.0,7.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,1.0,VildKi00,,
Mykal Walker,6-3,230.0,4.65,33.0,20.0,122.0,7.09,4.25,WalkMy00,4,119,ATL,LB,23,2022.0,0,0,2,11.0,11.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,3.0,1.0,WalkMy00,,
K'Von Wallace,5-11,206.0,4.53,38.0,18.0,133.0,6.76,4.15,WallKV00,4,127,PHI,S,23,2022.0,0,0,0,4.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,,,WallKV00,,
Prince Tega Wanogho,6-5,308.0,,,,,,,WanoTe00,6,210,PHI,T,22,2022.0,0,0,0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WanoTe00,,
Quez Watkins,6-0,185.0,4.35,36.5,,125.0,7.28,4.36,WatkQu00,6,200,PHI,WR,22,2022.0,0,0,1,12.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,83.0,1107.0,5.0,4.0,,,WatkQu00,,
Curtis Weaver,6-2,265.0,,32.5,,116.0,7.0,4.27,WeavCu00,5,164,MIA,DE,22,2021.0,0,0,0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WeavCu00,,
Evan Weaver,6-2,237.0,4.76,32.0,15.0,117.0,7.02,4.21,WeavEv00,6,202,ARI,LB,22,,0,0,0,,,,,,,,,,,,,,,,,,WeavEv00,,
Kenny Willekes,6-3,264.0,4.87,32.5,32.0,119.0,7.39,,WillKe06,7,225,MIN,DE,23,2021.0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,2.5,WillKe06,,
Isaiah Wilson,6-6,350.0,5.32,29.0,26.0,110.0,8.26,5.07,WilsIs00,1,29,TEN,T,21,2020.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WilsIs00,,
Logan Wilson,6-2,241.0,4.63,32.0,21.0,121.0,7.07,4.27,WilsLo00,3,65,CIN,LB,24,2022.0,0,0,2,17.0,17.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,7.0,4.5,WilsLo00,,
Tristan Wirfs,6-5,320.0,4.85,36.5,24.0,121.0,7.65,4.68,WirfTr00,1,13,TAM,T,21,2022.0,1,2,3,36.0,36.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,WirfTr00,,
Charlie Woerner,6-5,244.0,4.78,34.5,21.0,120.0,7.18,4.46,WoerCh00,6,190,SFO,TE,22,2022.0,0,0,0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,88.0,0.0,11.0,,,WoerCh00,,
D.J. Wonnum,6-5,258.0,4.73,34.5,20.0,123.0,7.25,4.44,WonnDJ00,4,117,MIN,DE,22,2022.0,0,0,1,11.0,11.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,,15.0,WonnDJ00,,
Chase Young,6-5,264.0,,,,,,,YounCh04,1,2,WAS,DE,21,2022.0,0,1,1,19.0,19.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,9.0,YounCh04,,
Jabari Zuniga,6-3,264.0,4.64,33.0,29.0,127.0,,,ZuniJa00,3,79,NYJ,DE,23,2022.0,0,0,0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,1.0,ZuniJa00,,
Paulson Adebo,6-1,198.0,4.45,36.5,18.0,121.0,6.69,4.13,AdebPa00,3,76,NOR,CB,22,2022.0,0,0,2,10.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,3.0,,AdebPa00,,
Jack Anderson,6-4,314.0,5.28,29.5,27.0,105.0,7.9,4.83,AndeJa01,7,236,BUF,OL,22,2022.0,0,0,0,2.0,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,AndeJa01,,
Tutu Atwell,5-8,155.0,4.42,33.0,,117.0,6.89,4.14,AtweTu00,2,57,LAR,WR,21,2022.0,0,0,0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,9.0,34.0,1.0,18.0,298.0,1.0,,,,AtweTu00,,
Kawaan Baker,6-0,210.0,4.44,39.5,21.0,129.0,7.42,4.41,-9999,7,255,NOR,WR,23,2021.0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,BakeKa00,,
Josh Ball,6-7,308.0,5.2,27.5,28.0,106.0,7.77,4.7,BallJo00,4,138,DAL,OL,23,2022.0,0,0,0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BallJo00,,
Aaron Banks,6-5,325.0,5.32,31.0,24.0,100.0,7.69,4.89,BankAa00,2,48,SFO,OL,24,2022.0,0,0,1,8.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BankAa00,,
Christian Barmore,6-4,310.0,4.93,,,,,,BarmCh00,2,38,NWE,DL,22,2022.0,0,0,0,5.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,4.0,BarmCh00,,
Derrick Barnes,6-0,238.0,4.57,37.0,29.0,119.0,,4.27,BarnDe02,4,113,DET,DE,22,2022.0,0,0,0,5.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,,3.0,BarnDe02,,
Rashod Bateman,6-0,190.0,4.39,36.0,,123.0,,,BateRa00,1,27,BAL,WR,21,2022.0,0,0,0,7.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,800.0,3.0,,,,BateRa00,,
John Bates,6-5,250.0,4.84,31.5,19.0,120.0,6.85,4.35,-9999,4,124,WAS,TE,23,2022.0,0,0,0,3.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,357.0,2.0,2.0,,,BateJo00,,
Joshuah Bledsoe,,,,,,,,,BledJo00,6,188,NWE,S,22,2022.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BledJo00,,
Quinton Bohanna,6-4,327.0,5.46,29.0,,99.0,8.21,5.15,-9999,6,192,DAL,DT,22,2022.0,0,0,1,6.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,BohaQu00,,
Nick Bolton,5-11,237.0,4.6,32.0,24.0,,7.4,4.5,BoltNi00,2,58,KAN,LB,21,2022.0,0,0,2,13.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,2.0,2.0,BoltNi00,,
Ian Book,6-0,211.0,4.65,32.5,,115.0,6.99,4.19,BookIa00,4,133,NOR,QB,23,2021.0,0,0,0,0.0,0.0,1.0,12.0,20.0,135.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,,,,BookIa00,,
Larry Borom,6-5,322.0,5.12,31.0,,,,,BoroLa00,5,151,CHI,OL,22,2022.0,0,0,1,8.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BoroLa00,,
William Bradley-King,6-3,252.0,4.74,34.5,,119.0,7.14,4.26,BradWi00,7,240,WAS,OLB,23,2022.0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.5,BradWi00,,
Brady Breeze,5-11,197.0,4.55,38.0,20.0,120.0,7.05,4.22,BreeBr00,6,215,TEN,S,23,2022.0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,BreeBr00,,
Gary Brightwell,5-10,218.0,4.62,34.5,17.0,118.0,7.51,4.48,BrigGa00,6,196,NYG,RB,22,2022.0,0,0,0,1.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,32.0,145.0,1.0,6.0,45.0,0.0,2.0,,,BrigGa00,,
K.J. Britt,6-0,235.0,4.76,32.5,24.0,118.0,7.38,4.4,BritKJ00,5,176,TAM,LB,22,2022.0,0,0,0,2.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,BritKJ00,,
Deonte Brown,6-3,344.0,,27.0,,,,,BrowDe06,6,193,CAR,OL,23,2021.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,BrowDe06,,
Dyami Brown,6-0,189.0,4.46,35.0,18.0,128.0,6.87,4.35,BrowDy00,3,82,WAS,WR,21,2022.0,0,0,0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,17.0,308.0,2.0,2.0,,,BrowDy00,,
Tre Brown,5-9,185.0,4.42,38.0,13.0,123.0,7.11,4.27,BrowTr03,4,137,SEA,CB,23,2022.0,0,0,0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,BrowTr03,,
Amon-Ra St. Brown,5-11,197.0,4.51,38.5,20.0,127.0,6.88,4.17,StxxAm00,4,112,DET,WR,21,2022.0,0,1,1,21.0,21.0,33.0,0.0,0.0,0.0,0.0,0.0,16.0,156.0,1.0,196.0,2073.0,11.0,1.0,,,StxxAm00,,
Baron Browning,6-2,245.0,4.58,40.0,23.0,130.0,6.78,4.23,BrowBa01,3,105,DEN,LB,22,2022.0,0,0,0,11.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,5.0,BrowBa01,,
Camryn Bynum,6-0,196.0,4.58,34.0,,129.0,6.99,4.1,BynuCa00,4,125,MIN,CB,23,2022.0,0,0,1,8.0,8.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,3.0,1.0,BynuCa00,,
Jalen Camp,6-1,226.0,4.48,39.5,29.0,125.0,7.0,4.14,-9999,6,209,JAX,WR,23,2022.0,0,0,0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,,,,CampJa03,,
Tyson Campbell,6-1,193.0,4.4,34.5,12.0,124.0,7.15,4.45,CampTy01,2,33,JAX,DB,21,2022.0,0,0,2,12.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,5.0,,CampTy01,,
Jackson Carman,6-4,317.0,,,,,,,CarmJa00,2,46,CIN,T,21,2022.0,0,0,0,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,CarmJa00,,
Michael Carter,5-7,201.0,4.5,34.0,16.0,119.0,6.81,3.98,CartMi03,4,107,NYJ,RB,22,2022.0,0,0,2,10.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,261.0,1041.0,7.0,77.0,613.0,0.0,1.0,,,CartMi03,,
Michael Carter,5-7,201.0,4.5,34.0,16.0,119.0,6.81,3.98,CartMi03,5,154,NYJ,S,22,2022.0,0,0,0,6.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,2.0,1.0,CartMi02,,
Ja'Marr Chase,6-0,201.0,4.34,41.0,,132.0,6.96,3.99,ChasJa00,1,5,CIN,WR,21,2022.0,0,2,2,23.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,0.0,168.0,2501.0,22.0,6.0,,,ChasJa00,,
Brady Christensen,,,,34.0,30.0,124.0,,,ChriBr00,3,70,CAR,OL,24,2022.0,0,0,1,10.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,ChriBr00,,
Andre Cisco,,,,,17.0,,,,CiscAn00,3,65,JAX,DB,21,2022.0,0,0,1,8.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,3.0,1.0,CiscAn00,,
Ben Cleveland,6-6,343.0,5.05,28.0,30.0,102.0,,4.88,ClevBe00,3,94,BAL,OL,23,2022.0,0,0,0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,ClevBe00,,
Nico Collins,6-4,215.0,4.43,37.5,14.0,125.0,6.78,4.29,CollNi00,3,89,HOU,WR,22,2022.0,0,0,0,7.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,927.0,3.0,2.0,,,CollNi00,,
Zaven Collins,6-4,259.0,4.67,35.0,19.0,122.0,,4.36,CollZa00,1,16,ARI,LB,22,2022.0,0,0,1,9.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,CollZa00,,
Jonathon Cooper,6-2,253.0,4.69,33.0,28.0,108.0,6.99,4.31,CoopJo02,7,239,DEN,DE,23,2022.0,0,0,1,9.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,,4.5,CoopJo02,,
Samuel Cosmi,6-5,314.0,4.87,30.0,36.0,117.0,7.35,4.39,CosmSa00,2,51,WAS,OL,22,2022.0,0,0,0,7.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,CosmSa00,,
Jabril Cox,6-3,232.0,,,,,,,CoxxJa00,4,115,DAL,LB,23,2022.0,0,0,0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,CoxxJa00,,
Drew Dalman,6-3,299.0,5.11,33.0,33.0,109.0,7.33,4.52,DalmDr00,4,114,ATL,C,22,2022.0,0,0,1,8.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,DalmDr00,,
Frank Darby,6-0,201.0,4.56,34.5,19.0,117.0,7.05,4.25,DarbFr00,6,187,ATL,WR,23,2022.0,0,0,0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,0.0,,,,DarbFr00,,
Jaelon Darden,5-7,174.0,4.47,35.5,,122.0,6.66,3.98,DardJa00,4,129,TAM,WR,22,2022.0,0,0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,8.0,69.0,0.0,,,,DardJa00,,
Zach Davidson,6-6,245.0,4.58,37.5,17.0,117.0,6.95,4.19,-9999,5,168,MIN,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,DaviZa00,,
Jamin Davis,6-3,234.0,4.47,42.0,,132.0,,,DaviJa11,1,19,WAS,LB,22,2022.0,0,0,1,12.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,,4.0,DaviJa11,,
Shawn Davis,5-10,202.0,,39.5,17.0,128.0,,,DaviSh02,5,165,IND,DB,22,2021.0,0,0,0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,DaviSh02,,
Wyatt Davis,6-3,315.0,,,25.0,,,,DaviWy00,3,86,MIN,OL,22,2022.0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,DaviWy00,,
Divine Deablo,6-3,226.0,4.42,34.0,19.0,126.0,7.12,4.4,DeabDi00,3,80,LVR,DB,23,2022.0,0,0,0,8.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,,DeabDi00,,
Victor Dimukeje,6-1,262.0,4.87,34.5,28.0,115.0,7.25,4.35,DimuVi00,6,210,ARI,DE,21,2022.0,0,0,0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,DimuVi00,,
Gerrid Doaks,5-11,228.0,4.58,39.5,19.0,120.0,7.2,4.27,-9999,7,244,MIA,RB,23,,0,0,0,,,,,,,,,,,,,,,,,,DoakGe00,,
Brandin Echols,5-10,179.0,4.34,42.5,13.0,136.0,6.84,4.12,-9999,6,200,NYJ,CB,23,2022.0,0,0,1,5.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,,EchoBr00,,
Sam Ehlinger,6-1,220.0,4.84,36.5,,114.0,7.15,4.44,EhliSa00,6,218,IND,QB,22,2022.0,0,0,0,2.0,2.0,7.0,64.0,101.0,573.0,3.0,3.0,20.0,96.0,0.0,0.0,0.0,0.0,,,,EhliSa00,,
Liam Eichenberg,6-6,306.0,,26.5,33.0,105.0,7.53,4.58,EichLi00,2,42,MIA,OL,23,2022.0,0,0,2,12.0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,EichLi00,,
D'Wayne Eskridge,5-8,190.0,4.38,35.0,,124.0,6.93,4.22,EskrDW00,2,56,SEA,WR,24,2022.0,0,0,0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,69.0,0.0,17.0,122.0,1.0,1.0,,,EskrDW00,,
Travis Etienne,5-10,215.0,4.45,33.5,18.0,128.0,,,EtieTr00,1,25,JAX,RB,22,2022.0,0,0,1,11.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,220.0,1125.0,5.0,35.0,316.0,0.0,,,,EtieTr00,,
Chris Evans,5-11,211.0,4.5,40.5,20.0,127.0,6.83,4.12,EvanCh02,6,202,CIN,RB,23,2022.0,0,0,0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,17.0,77.0,0.0,18.0,189.0,3.0,4.0,,,EvanCh02,,
Matt Farniok,6-5,311.0,5.2,33.0,28.0,105.0,7.14,4.8,-9999,7,238,DAL,G,23,2022.0,0,0,0,2.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,FarnMa00,,
Luke Farrell,6-5,251.0,4.79,36.5,22.0,118.0,7.14,4.36,FarrLu00,5,145,JAX,TE,23,2022.0,0,0,0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,96.0,0.0,1.0,,,FarrLu00,,
Simi Fehoko,6-3,222.0,4.44,34.5,16.0,120.0,6.78,4.26,FehoSi00,5,179,DAL,WR,23,2022.0,0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,,,,FehoSi00,,
Demetric Felton,5-8,189.0,4.55,,,,,,FeltDe00,6,211,CLE,RB,23,2022.0,0,0,0,2.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,20.0,189.0,2.0,3.0,,,FeltDe00,,
Justin Fields,6-2,227.0,4.45,,,,,,FielJu00,1,11,CHI,QB,22,2022.0,0,0,1,22.0,22.0,27.0,351.0,588.0,4112.0,24.0,21.0,232.0,1563.0,10.0,0.0,0.0,0.0,,,,FielJu00,,
Tony Fields,6-0,222.0,4.64,34.0,17.0,114.0,7.15,4.48,FielTo00,5,153,CLE,LB,22,2022.0,0,0,0,5.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,,FielTo00,,
Dez Fitzpatrick,6-1,208.0,4.43,35.0,,,7.09,4.26,FitzDe00,4,109,TEN,WR,23,2022.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,49.0,1.0,1.0,,,FitzDe00,,
Thomas Fletcher,,,,,,,,,-9999,6,222,CAR,LS,22,,0,0,0,,,,,,,,,,,,,,,,,,FletTh00,,
Darrick Forrest,5-11,206.0,4.42,39.0,21.0,132.0,6.91,4.23,ForrDa00,5,163,WAS,S,22,2022.0,0,0,1,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4.0,,ForrDa00,,
Stone Forsythe,6-8,307.0,5.14,27.5,25.0,103.0,7.47,4.65,ForsSt00,6,208,SEA,OL,23,2022.0,0,0,0,3.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,ForsSt00,,
Pat Freiermuth,6-5,251.0,,,26.0,,,,FreiPa00,2,55,PIT,TE,22,2022.0,0,0,0,10.0,10.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,1229.0,9.0,2.0,,,FreiPa00,,
Will Fries,6-6,309.0,5.37,31.0,24.0,115.0,7.77,4.53,FrieWi00,7,248,IND,OL,23,2022.0,0,0,1,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,FrieWi00,,
Jake Funk,5-10,204.0,4.49,38.0,22.0,122.0,6.71,4.12,FunkJa00,7,233,LAR,RB,23,2022.0,0,0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,,,FunkJa00,,
Kenneth Gainwell,,201.0,4.42,,21.0,,,,GainKe00,5,150,PHI,RB,22,2022.0,0,0,0,9.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,121.0,531.0,9.0,56.0,422.0,1.0,,,,GainKe00,,
Tyree Gillespie,,,4.38,,15.0,,7.06,,GillTy00,4,143,LVR,S,23,2022.0,0,0,0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,GillTy00,,
Chauncey Golston,6-4,269.0,4.79,36.0,,119.0,7.52,4.65,GolsCh00,3,84,DAL,DL,23,2022.0,0,0,0,3.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,2.0,GolsCh00,,
Tay Gowan,6-0,186.0,4.44,35.5,13.0,118.0,6.88,4.25,GowaTa00,6,223,ARI,DB,23,2022.0,0,0,0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,GowaTa00,,
Ta'Quon Graham,6-3,292.0,4.89,32.5,32.0,113.0,7.31,4.68,GrahTa00,5,148,ATL,DL,22,2022.0,0,0,1,6.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,GrahTa00,,
Richie Grant,5-11,197.0,4.49,34.5,12.0,129.0,6.78,4.27,GranRi00,2,40,ATL,DB,23,2022.0,0,0,1,7.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,,GranRi00,,
Noah Gray,6-3,240.0,4.55,35.0,15.0,115.0,6.83,4.37,GrayNo00,5,162,KAN,TE,22,2022.0,0,0,0,3.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,35.0,335.0,2.0,1.0,,,GrayNo00,,
Kendrick Green,6-1,305.0,4.89,35.5,25.0,119.0,7.79,4.67,GreeKe02,3,87,PIT,OL,22,2021.0,0,0,1,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,GreeKe02,,
Robert Hainsey,6-4,306.0,5.2,27.5,32.0,104.0,7.58,4.63,HainRo00,3,95,TAM,OL,23,2022.0,0,0,1,7.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HainRo00,,
Darren Hall,5-11,188.0,4.47,38.5,16.0,132.0,7.07,4.28,HallDa03,4,108,ATL,CB,21,2022.0,0,0,1,4.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,1.0,HallDa03,,
Damar Hamlin,6-0,200.0,4.6,35.0,18.0,118.0,6.93,4.4,HamlDa00,6,212,BUF,DB,23,2022.0,0,0,1,6.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,,1.5,HamlDa00,,
Jacob Harris,6-5,219.0,4.39,40.5,15.0,133.0,6.54,4.31,-9999,4,141,LAR,WR,24,2022.0,0,0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,,,HarrJa03,,
Daelin Hayes,6-3,253.0,4.71,32.5,26.0,119.0,7.17,4.29,HayeDa00,5,171,BAL,DL,23,2021.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HayeDa00,,
Khalil Herbert,5-8,210.0,4.46,33.0,22.0,115.0,6.96,4.31,HerbKh00,6,217,CHI,RB,23,2022.0,0,0,0,8.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,232.0,1164.0,6.0,23.0,153.0,1.0,5.0,,,HerbKh00,,
Kylin Hill,5-10,214.0,4.51,36.0,22.0,122.0,7.13,4.35,HillKy00,7,256,GNB,RB,23,2022.0,0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,0.0,1.0,5.0,0.0,1.0,,,HillKy00,,
Trey Hill,6-3,319.0,5.5,,,,,,HillTr03,6,190,CIN,OL,21,2022.0,0,0,0,3.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HillTr03,,
